Jogo ID;Home;Gols Home;Gols  Away;Away;odd Home;odd Draw;odd Away;Home Score HT;Away Score HT;Corner Home;Corner Away;Total Corner Match;;;;;;;;;;;;;;;;;;;;;;;;
49;Vasco;0;0;Flamengo;5.75;3.80;1.60;0;0;2;11;13;;;;;;;;;;;;;;;;;;;;;;;;
50;Fortaleza;1;2;Palmeiras;3.25;3.10;2.30;0;1;8;2;10;;;;;;;;;;;;;;;;;;;;;;;;
51;Palmeiras;0;1;Bahia;1.65;4.00;5.00;0;0;6;5;11;;;;;;;;;;;;;;;;;;;;;;;;
52;Mirasol;2;2;A. Mineiro;2.80;3.30;2.45;1;0;4;2;6;;;;;;;;;;;;;;;;;;;;;;;;
53;Flamengo;4;0;Corinthians;1.57;3.60;6.50;3;0;10;3;13;;;;;;;;;;;;;;;;;;;;;;;;
54;Gremio;1;2;Bragantino;1.70;3.30;5.75;0;0;6;10;16;;;;;;;;;;;;;;;;;;;;;;;;
55;Botafogo;2;0;Fluminense;2.20;3.40;3.20;1;0;6;3;9;;;;;;;;;;;;;;;;;;;;;;;;
56;Cruzeiro;1;0;Vasco;1.75;3.75;4.50;0;0;4;8;12;;;;;;;;;;;;;;;;;;;;;;;;
57;Vitoria;1;1;Gremio;2.45;3.30;2.80;0;1;6;2;8;;;;;;;;;;;;;;;;;;;;;;;;
58;Ceara;1;1;São Paulo;2.40;3.20;3.00;1;1;3;2;5;;;;;;;;;;;;;;;;;;;;;;;;
59;Sport;0;0;Fortaleza;2.40;3.40;2.80;0;0;6;6;12;;;;;;;;;;;;;;;;;;;;;;;;
60;Internacional;3;1;Juventude;1.40;4.33;9.00;2;1;9;2;11;;;;;;;;;;;;;;;;;;;;;;;;
61;São Paulo;0;0;Fortaleza;1.90;3.30;4.20;0;0;5;13;18;;;;;;;;;;;;;;;;;;;;;;;;
62;Ceara;1;0;Vitoria;1.80;3.40;4.50;0;0;3;3;6;;;;;;;;;;;;;;;;;;;;;;;;
63;Corinthians;4;2;Internacional;2.20;3.25;3.40;1;2;3;7;10;;;;;;;;;;;;;;;;;;;;;;;;
64;Fluminense;2;1;Sport;1.72;3.75;4.50;0;1;10;6;16;;;;;;;;;;;;;;;;;;;;;;;;
65;Bahia;1;0;Botafogo;2.25;3.30;3.10;0;0;3;3;6;;;;;;;;;;;;;;;;;;;;;;;;
66;Gremio;1;0;Santos;2.40;3.25;2.87;0;0;3;6;9;;;;;;;;;;;;;;;;;;;;;;;;
67;Vasco;0;1;Palmeiras;4.50;3.20;1.90;0;0;7;11;18;;;;;;;;;;;;;;;;;;;;;;;;
68;Cruzeiro;2;1;Flamengo;4.10;3.40;1.90;1;1;6;5;11;;;;;;;;;;;;;;;;;;;;;;;;
69;Bragantino;1;0;Mirasol;2.15;3.40;3.25;0;0;4;4;8;;;;;;;;;;;;;;;;;;;;;;;;
70;Juventude;0;1;A. Mineiro;3.25;3.25;2.20;0;1;3;5;8;;;;;;;;;;;;;;;;;;;;;;;;
71;Fortaleza;5;0;Juventude;1.57;3.75;6.00;1;0;5;4;9;;;;;;;;;;;;;;;;;;;;;;;;
72;Gremio;1;1;Bragantino;2.40;3.25;3.00;0;0;6;4;10;;;;;;;;;;;;;;;;;;;;;;;;
73;Mirasol;3;1;Corinthians;2.87;3.10;2.60;0;1;4;5;9;;;;;;;;;;;;;;;;;;;;;;;;
74;Vitoria;2;1;Vasco;2.10;3.25;3.70;0;1;6;3;9;;;;;;;;;;;;;;;;;;;;;;;;
75;Flamengo;1;0;Bahia;1.66;3.60;5.25;1;0;8;2;10;;;;;;;;;;;;;;;;;;;;;;;;
76;Sport;0;4;Cruzeiro;2.40;3.20;3.00;0;3;7;4;11;;;;;;;;;;;;;;;;;;;;;;;;
77;A. Mineiro;3;2;Fluminense;1.95;3.40;4.00;0;0;10;0;10;;;;;;;;;;;;;;;;;;;;;;;;
78;Palmeiras;1;0;São Paulo;1.66;3.75;5.00;0;0;10;1;11;;;;;;;;;;;;;;;;;;;;;;;;
79;Botafogo;4;0;Internacional;2.20;3.25;3.30;2;0;2;7;9;;;;;;;;;;;;;;;;;;;;;;;;
80;Santos;0;0;Ceara;1.83;3.30;4.50;0;0;9;6;15;;;;;;;;;;;;;;;;;;;;;;;;
81;Ceara;2;0;Sport;1.90;3.25;4.20;1;0;5;8;13;;;;;;;;;;;;;;;;;;;;;;;;
82;Vasco;3;0;Fortaleza;2.30;3.25;3.00;1;0;4;7;11;;;;;;;;;;;;;;;;;;;;;;;;
83;São Paulo;2;1;Gremio;1.80;3.50;4.75;0;1;8;3;11;;;;;;;;;;;;;;;;;;;;;;;;
84;Bahia;2;1;Vitoria;1.66;3.50;5.25;1;0;1;10;11;;;;;;;;;;;;;;;;;;;;;;;;
85;Corinthians;1;0;Santos;1.83;3.30;4.75;0;0;5;3;8;;;;;;;;;;;;;;;;;;;;;;;;
86;Juventude;1;1;Fluminense;3.10;3.25;2.30;0;0;5;5;10;;;;;;;;;;;;;;;;;;;;;;;;
87;Flamengo;0;0;Botafogo;1.60;3.75;5.75;0;0;7;3;10;;;;;;;;;;;;;;;;;;;;;;;;
88;Bragantino;1;2;Palmeiras;3.20;3.20;2.25;1;0;8;12;20;;;;;;;;;;;;;;;;;;;;;;;;
89;Cruzeiro;0;0;A. Mineiro;2.45;3.20;2.90;0;0;15;1;16;;;;;;;;;;;;;;;;;;;;;;;;
90;Internacional;1;1;Mirasol;1.53;4.00;6.00;0;1;6;2;8;;;;;;;;;;;;;;;;;;;;;;;;
91;Botafogo;1;0;Ceara;1.63;3.78;5.60;1;0;6;3;9;;;;;;;;;;;;;;;;;;;;;;;;
92;Fluminense;2;1;Vasco;1.80;3.50;4.50;1;1;6;2;8;;;;;;;;;;;;;;;;;;;;;;;;
93;São Paulo;0;2;Mirasol;1.60;3.90;5.25;0;0;5;4;9;;;;;;;;;;;;;;;;;;;;;;;;
94;A. Mineiro;0;0;Corinthians;1.80;3.40;4.75;0;0;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;
95;Gremio;1;0;Bahia;2.40;3.20;3.00;0;0;4;17;21;;;;;;;;;;;;;;;;;;;;;;;;
96;Palmeiras;0;2;Flamengo;2.30;3.30;3.10;0;0;3;3;6;;;;;;;;;;;;;;;;;;;;;;;;
97;Sport;1;1;Internacional;2.60;3.20;2.70;1;0;6;4;10;;;;;;;;;;;;;;;;;;;;;;;;
98;Vitoria;0;1;Santos;2.40;3.20;2.87;0;1;5;5;10;;;;;;;;;;;;;;;;;;;;;;;;
99;Fortaleza;0;2;Cruzeiro;2.20;3.20;3.25;0;2;6;8;14;;;;;;;;;;;;;;;;;;;;;;;;
100;Bragantino;1;0;Juventude;1.53;4.00;5.75;1;0;6;2;8;;;;;;;;;;;;;;;;;;;;;;;;
101;Bahia;2;1;São Paulo;1.90;3.20;4.75;0;0;5;3;8;;;;;;;;;;;;;;;;;;;;;;;;
102;Cruzeiro;2;1;Palmeiras;3.25;3.25;2.20;2;0;5;13;18;;;;;;;;;;;;;;;;;;;;;;;;
103;Vasco;0;2;Bragantino;2.50;3.10;3.00;0;2;7;3;10;;;;;;;;;;;;;;;;;;;;;;;;
104;Mirasol;1;0;Sport;1.95;3.40;4.10;1;0;2;7;9;;;;;;;;;;;;;;;;;;;;;;;;
105;Juventude;0;2;Gremio;2.87;3.25;2.40;0;2;5;7;12;;;;;;;;;;;;;;;;;;;;;;;;
106;Santos;0;1;Botafogo;2.15;3.25;3.40;0;0;5;4;9;;;;;;;;;;;;;;;;;;;;;;;;
107;Ceara;0;1;A. Mineiro;2.15;3.25;3.40;0;0;8;8;16;;;;;;;;;;;;;;;;;;;;;;;;
108;Corinthians;0;0;Vitoria;1.57;3.60;6.50;0;0;8;3;11;;;;;;;;;;;;;;;;;;;;;;;;
109;Flamengo;5;0;Fortaleza;1.53;3.70;7.00;1;0;2;4;6;;;;;;;;;;;;;;;;;;;;;;;;
110;Internacional;0;2;Fluminense;1.66;3.60;5.00;0;1;9;1;10;;;;;;;;;;;;;;;;;;;;;;;;
111;Botafogo;;;Mirasol;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
112;Fluminense;;;Ceara;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
113;Palmeiras;;;Juventude;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
114;Sport;;;Flamengo;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
115;Bragantino;;;Bahia;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
